,Address,Property Price,Link
0,"2527 Ortega St, San Francisco, CA 94122","$1,498,000",https://www.trulia.com//p/ca/san-francisco/2527-ortega-st-san-francisco-ca-94122--2083033947
1,"2968 23rd St, San Francisco, CA 94110","$2,198,000",https://www.trulia.com//p/ca/san-francisco/2968-23rd-st-san-francisco-ca-94110--2082903952
2,"1568 Noe St, San Francisco, CA 94131","$1,448,000",https://www.trulia.com//p/ca/san-francisco/1568-noe-st-san-francisco-ca-94131--2083070454
3,"3118 Pacheco St, San Francisco, CA 94116","$1,095,000",https://www.trulia.com//p/ca/san-francisco/3118-pacheco-st-san-francisco-ca-94116--2082977700
4,"50 Santa Paula Ave, San Francisco, CA 94127","$3,750,000",https://www.trulia.com//p/ca/san-francisco/50-santa-paula-ave-san-francisco-ca-94127--2083064641
5,"443 39th Ave, San Francisco, CA 94121","$1,550,000",https://www.trulia.com//p/ca/san-francisco/443-39th-ave-san-francisco-ca-94121--2083010874
6,"Loft Residences Plan in 1288 Howard, San Francisco, CA 94103","$585,000+",https://www.trulia.com//builder-community/1288-Howard-6529662858/new-home/Plan-Loft-Residences/9061474430
7,"550 Teresita Blvd, San Francisco, CA 94127","$1,300,000",https://www.trulia.com//p/ca/san-francisco/550-teresita-blvd-san-francisco-ca-94127--2083064898
8,"Residence 63A Plan in 181 Fremont, San Francisco, CA 94105","$5,660,000+",https://www.trulia.com//builder-community/181-Fremont-6000212995/new-home/Plan-Residence-63a/9063050085
9,"382 Madison St, San Francisco, CA 94134","$1,149,800",https://www.trulia.com//p/ca/san-francisco/382-madison-st-san-francisco-ca-94134--2083105787
10,"738 Geneva Ave, San Francisco, CA 94112","$1,249,000",https://www.trulia.com//p/ca/san-francisco/738-geneva-ave-san-francisco-ca-94112--2082937618
11,"2314 34th Ave, San Francisco, CA 94116","$1,528,000",https://www.trulia.com//p/ca/san-francisco/2314-34th-ave-san-francisco-ca-94116--2082971902
12,"4277 23rd St, San Francisco, CA 94114","$2,739,000",https://www.trulia.com//p/ca/san-francisco/4277-23rd-st-san-francisco-ca-94114--2082948939
13,"111 Plan in 1288 Howard, San Francisco, CA 94103","$585,000+",https://www.trulia.com//builder-community/1288-Howard-6529662858/new-home/Plan-111/9061474431
14,"The Bristol - Residence #427 Plan in Residences at Yerba Buena Island, San Francisco, CA 94130","$1,710,000+",https://www.trulia.com//builder-community/Residences-At-Yerba-Buena-Island-6529336533/new-home/Plan-The-Bristol-Residence-427/9066474591
15,"51 Brewster St, San Francisco, CA 94110","$1,499,000",https://www.trulia.com//p/ca/san-francisco/51-brewster-st-san-francisco-ca-94110--2082911200
16,"383 Haight St, San Francisco, CA 94102","$595,000",https://www.trulia.com//p/ca/san-francisco/383-haight-st-san-francisco-ca-94102--2218835279
17,"335 30th Ave, San Francisco, CA 94121","$2,995,000",https://www.trulia.com//p/ca/san-francisco/335-30th-ave-san-francisco-ca-94121--2083009159
18,"110 College Ave, San Francisco, CA 94112","$1,540,000",https://www.trulia.com//p/ca/san-francisco/110-college-ave-san-francisco-ca-94112--1010670210
19,"Plan A in Lofton at Portola, San Francisco, CA 94134","$1,599,900+",https://www.trulia.com//builder-community/Lofton-At-Portola-6529303776/new-home/Plan-A/9070904491
20,"Plan C in Lofton at Portola, San Francisco, CA 94134","$1,399,900+",https://www.trulia.com//builder-community/Lofton-At-Portola-6529303776/new-home/Plan-C/9070904492
21,"Residence 62B Plan in 181 Fremont, San Francisco, CA 94105","$6,880,000+",https://www.trulia.com//builder-community/181-Fremont-6000212995/new-home/Plan-Residence-62b/9067085668
22,"1781 Quesada Ave, San Francisco, CA 94124","$1,095,000",https://www.trulia.com//p/ca/san-francisco/1781-quesada-ave-san-francisco-ca-94124--2083052091
23,"1 Edinburgh St, San Francisco, CA 94112","$1,100,000",https://www.trulia.com//p/ca/san-francisco/1-edinburgh-st-san-francisco-ca-94112--2082924801
24,"36 Santa Rosa Ave, San Francisco, CA 94112","$1,498,000",https://www.trulia.com//p/ca/san-francisco/36-santa-rosa-ave-san-francisco-ca-94112--1009675148
25,"110 Aptos Ave, San Francisco, CA 94127","$3,250,000",https://www.trulia.com//p/ca/san-francisco/110-aptos-ave-san-francisco-ca-94127--2083059361
26,"1235 5th Ave, San Francisco, CA 94122","$3,300,000",https://www.trulia.com//p/ca/san-francisco/1235-5th-ave-san-francisco-ca-94122--2083020049
27,"2055 23rd Ave, San Francisco, CA 94116","$1,375,000",https://www.trulia.com//p/ca/san-francisco/2055-23rd-ave-san-francisco-ca-94116--2082968224
28,"478 Hoffman Ave, San Francisco, CA 94114","$3,495,000",https://www.trulia.com//p/ca/san-francisco/478-hoffman-ave-san-francisco-ca-94114--1063893959
29,"106 15th Ave, San Francisco, CA 94118","$1,749,000",https://www.trulia.com//p/ca/san-francisco/106-15th-ave-san-francisco-ca-94118--2082992632
30,"1223 12th Ave, San Francisco, CA 94122","$1,888,000",https://www.trulia.com//p/ca/san-francisco/1223-12th-ave-san-francisco-ca-94122--2083019670
31,"225 Lee Ave, San Francisco, CA 94112","$1,685,000",https://www.trulia.com//p/ca/san-francisco/225-lee-ave-san-francisco-ca-94112--2082925983
32,"2379 34th Ave, San Francisco, CA 94116","$1,095,000",https://www.trulia.com//p/ca/san-francisco/2379-34th-ave-san-francisco-ca-94116--2082973033
33,"1594 44th Ave, San Francisco, CA 94122","$1,889,000",https://www.trulia.com//p/ca/san-francisco/1594-44th-ave-san-francisco-ca-94122--1061326784
34,"542 Holloway Ave, San Francisco, CA 94112","$699,000",https://www.trulia.com//p/ca/san-francisco/542-holloway-ave-san-francisco-ca-94112--2082934541
35,"216 Mangels Ave, San Francisco, CA 94131","$1,698,000",https://www.trulia.com//p/ca/san-francisco/216-mangels-ave-san-francisco-ca-94131--2083072186
36,"242 Anderson St, San Francisco, CA 94110","$1,998,000",https://www.trulia.com//p/ca/san-francisco/242-anderson-st-san-francisco-ca-94110--2082900748
37,"Plan D1 in Lofton at Portola, San Francisco, CA 94134","$1,599,900+",https://www.trulia.com//builder-community/Lofton-At-Portola-6529303776/new-home/Plan-D1/9070904489
38,"183 Tucker Ave, San Francisco, CA 94134","$898,000",https://www.trulia.com//p/ca/san-francisco/183-tucker-ave-san-francisco-ca-94134--1039729148
39,"1535 Van Dyke Ave, San Francisco, CA 94124","$1,800,000",https://www.trulia.com//p/ca/san-francisco/1535-van-dyke-ave-san-francisco-ca-94124--2083050135
